BPM,SpO2,drowsiness,label
187,90,1,1
191,6,1,1
152,93,1,1
127,91,1,1
136,67,1,1
119,0,1,1
147,48,1,1
143,45,1,1
197,9,1,1
131,38,1,1
155,54,1,1
119,54,1,1
164,6,1,1
181,8,1,1
171,42,1,1
137,48,1,1
191,15,1,1
119,79,1,1
190,10,1,1
118,50,1,1
142,65,1,1
163,56,1,1
128,23,1,1
134,61,1,1
144,91,1,1
187,15,1,1
174,11,1,1
144,67,1,1
195,82,1,1
148,32,1,1
180,0,1,1
174,18,1,1
195,30,1,1
116,32,1,1
144,76,1,1
137,65,1,1
158,64,1,1
188,65,1,1
125,93,1,1
173,5,1,1
183,31,1,1
161,61,1,1
189,44,1,1
137,59,1,1
127,60,1,1
144,27,1,1
142,49,1,1
177,62,1,1
166,55,1,1
176,76,1,1
184,64,1,1
198,9,1,1
187,12,1,1
161,93,1,1
200,59,1,1
195,53,1,1
161,45,1,1
140,77,1,1
186,34,1,1
188,16,1,1
190,5,1,1
154,38,1,1
172,4,1,1
183,1,1,1
134,65,1,1
149,16,1,1
153,29,1,1
153,82,1,1
197,30,1,1
152,4,1,1
191,69,1,1
142,86,1,1
194,68,1,1
136,4,1,1
174,83,1,1
148,33,1,1
197,80,1,1
126,47,1,1
151,67,1,1
195,36,1,1
133,8,1,1
198,34,1,1
146,24,1,1
129,48,1,1
188,57,1,1
135,43,1,1
135,44,1,1
141,39,1,1
126,32,1,1
157,54,1,1
119,72,1,1
118,92,1,1
126,56,1,1
138,9,1,1
156,21,1,1
186,16,1,1
128,74,1,1
200,69,1,1
194,30,1,1
169,74,1,1
122,81,1,1
129,31,1,1
132,8,1,1
121,22,1,1
156,33,1,1
141,65,1,1
166,37,1,1
166,43,1,1
124,39,1,1
115,51,1,1
155,57,1,1
165,8,1,1
158,66,1,1
191,70,1,1
189,1,1,1
138,31,1,1
183,73,1,1
169,86,1,1
189,85,1,1
163,66,1,1
194,75,1,1
189,43,1,1
163,72,1,1
186,29,1,1
181,12,1,1
148,54,1,1
150,71,1,1
186,88,1,1
160,86,1,1
117,13,1,1
137,33,1,1
182,5,1,1
146,43,1,1
158,1,1,1
134,7,1,1
118,34,1,1
159,56,1,1
191,69,1,1
185,38,1,1
117,5,1,1
200,59,1,1
141,67,1,1
194,39,1,1
121,24,1,1
117,35,1,1
124,53,1,1
156,57,1,1
200,43,1,1
169,41,1,1
158,49,1,1
123,22,1,1
195,53,1,1
198,64,1,1
153,2,1,1
140,19,1,1
166,86,1,1
154,33,1,1
154,85,1,1
180,2,1,1
178,71,1,1
195,9,1,1
165,26,1,1
154,5,1,1
162,53,1,1
153,32,1,1
163,48,1,1
192,23,1,1
181,10,1,1
118,88,1,1
153,93,1,1
164,20,1,1
143,32,1,1
168,51,1,1
198,84,1,1
123,67,1,1
143,72,1,1
128,57,1,1
150,23,1,1
169,14,1,1
176,32,1,1
121,92,1,1
186,19,1,1
182,50,1,1
182,77,1,1
128,26,1,1
138,23,1,1
135,3,1,1
144,78,1,1
169,39,1,1
169,29,1,1
200,57,1,1
195,63,1,1
181,32,1,1
132,0,1,1
124,82,1,1
119,79,1,1
133,58,1,1
126,40,1,1
199,34,1,1
150,86,1,1
155,35,1,1
115,78,1,1
147,23,1,1
131,78,1,1
180,56,1,1
184,3,1,1
192,9,1,1
150,86,1,1
181,6,1,1
142,51,1,1
178,88,1,1
129,92,1,1
138,32,1,1
192,79,1,1
191,63,1,1
189,72,1,1
158,93,1,1
168,79,1,1
181,12,1,1
144,60,1,1
182,44,1,1
195,85,1,1
166,52,1,1
193,48,1,1
176,19,1,1
145,45,1,1
185,34,1,1
154,6,1,1
163,17,1,1
124,11,1,1
150,87,1,1
182,63,1,1
154,4,1,1
163,59,1,1
117,22,1,1
132,73,1,1
188,77,1,1
123,39,1,1
129,34,1,1
186,45,1,1
187,29,1,1
177,91,1,1
154,47,1,1
130,71,1,1
186,72,1,1
183,65,1,1
