BPM,SpO2,drowsiness,label
443,41,1,2
362,9,1,2
373,16,1,2
207,36,1,2
287,30,1,2
337,57,1,2
257,75,1,2
374,92,1,2
475,62,1,2
322,79,1,2
237,16,1,2
254,80,1,2
408,1,1,2
459,41,1,2
247,85,1,2
451,78,1,2
387,39,1,2
309,9,1,2
405,35,1,2
230,35,1,2
365,93,1,2
472,1,1,2
469,6,1,2
467,39,1,2
359,0,1,2
215,15,1,2
359,3,1,2
478,48,1,2
470,24,1,2
204,4,1,2
259,49,1,2
208,45,1,2
314,50,1,2
264,73,1,2
477,52,1,2
232,85,1,2
494,72,1,2
241,24,1,2
488,60,1,2
243,23,1,2
253,69,1,2
227,46,1,2
329,5,1,2
333,52,1,2
323,81,1,2
485,47,1,2
286,7,1,2
354,49,1,2
471,53,1,2
373,93,1,2
432,44,1,2
432,28,1,2
321,31,1,2
284,33,1,2
302,31,1,2
263,50,1,2
261,29,1,2
331,68,1,2
372,57,1,2
290,26,1,2
452,56,1,2
488,10,1,2
466,1,1,2
385,3,1,2
475,57,1,2
438,30,1,2
353,31,1,2
420,66,1,2
483,73,1,2
409,48,1,2
395,50,1,2
242,78,1,2
417,20,1,2
364,38,1,2
238,61,1,2
481,93,1,2
434,54,1,2
323,37,1,2
324,35,1,2
224,15,1,2
212,23,1,2
267,1,1,2
339,36,1,2
472,24,1,2
276,49,1,2
461,79,1,2
212,6,1,2
429,90,1,2
243,92,1,2
281,14,1,2
287,64,1,2
361,69,1,2
372,91,1,2
264,82,1,2
269,1,1,2
419,19,1,2
286,50,1,2
263,28,1,2
220,25,1,2
332,90,1,2
393,25,1,2
399,33,1,2
276,70,1,2
420,92,1,2
336,62,1,2
419,13,1,2
294,89,1,2
253,29,1,2
292,33,1,2
351,16,1,2
243,39,1,2
380,58,1,2
347,84,1,2
288,85,1,2
399,90,1,2
314,33,1,2
350,12,1,2
410,29,1,2
214,47,1,2
371,10,1,2
307,1,1,2
262,10,1,2
474,8,1,2
261,10,1,2
386,3,1,2
494,46,1,2
438,18,1,2
494,90,1,2
393,85,1,2
306,36,1,2
361,1,1,2
353,15,1,2
370,69,1,2
242,4,1,2
239,45,1,2
322,84,1,2
366,74,1,2
332,84,1,2
210,70,1,2
304,51,1,2
412,21,1,2
233,37,1,2
449,72,1,2
335,73,1,2
415,67,1,2
460,35,1,2
473,14,1,2
317,72,1,2
414,42,1,2
352,12,1,2
415,82,1,2
324,15,1,2
291,8,1,2
234,53,1,2
313,59,1,2
395,13,1,2
348,12,1,2
262,67,1,2
256,73,1,2
315,71,1,2
398,93,1,2
466,6,1,2
236,4,1,2
293,38,1,2
241,0,1,2
244,49,1,2
271,49,1,2
241,42,1,2
479,5,1,2
370,17,1,2
405,59,1,2
231,36,1,2
386,58,1,2
462,42,1,2
475,57,1,2
442,68,1,2
415,50,1,2
412,23,1,2
289,58,1,2
300,82,1,2
312,22,1,2
441,45,1,2
354,42,1,2
492,4,1,2
299,44,1,2
293,52,1,2
323,58,1,2
238,88,1,2
446,3,1,2
393,29,1,2
301,23,1,2
389,85,1,2
301,6,1,2
458,12,1,2
428,46,1,2
354,48,1,2
403,20,1,2
313,8,1,2
320,6,1,2
417,29,1,2
229,48,1,2
332,20,1,2
417,3,1,2
232,22,1,2
415,41,1,2
248,1,1,2
467,37,1,2
391,5,1,2
312,22,1,2
274,63,1,2
348,62,1,2
484,58,1,2
226,92,1,2
