BPM,SpO2,drowsiness,label
105,96,0,0
85,95,0,0
91,97,0,0
48,100,0,0
112,98,0,0
114,98,0,0
62,95,0,0
56,97,0,0
59,98,0,0
85,99,0,0
52,95,0,0
110,96,0,0
89,98,0,0
76,99,0,0
62,97,0,0
85,96,0,0
61,95,0,0
105,100,0,0
94,99,0,0
111,97,0,0
109,98,0,0
49,100,0,0
107,95,0,0
60,95,0,0
113,97,0,0
101,98,0,0
78,97,0,0
66,96,0,0
68,98,0,0
94,97,0,0
45,99,0,0
67,96,0,0
93,98,0,0
50,100,0,0
113,96,0,0
69,100,0,0
105,98,0,0
112,100,0,0
96,100,0,0
65,99,0,0
46,96,0,0
59,96,0,0
77,95,0,0
81,100,0,0
69,99,0,0
54,98,0,0
88,95,0,0
98,100,0,0
70,95,0,0
49,99,0,0
46,95,0,0
68,96,0,0
56,98,0,0
64,99,0,0
58,99,0,0
111,95,0,0
105,96,0,0
76,98,0,0
59,100,0,0
87,96,0,0
81,99,0,0
75,97,0,0
86,95,0,0
59,95,0,0
112,95,0,0
70,95,0,0
97,100,0,0
95,98,0,0
52,98,0,0
75,100,0,0
67,96,0,0
90,100,0,0
98,99,0,0
110,96,0,0
55,99,0,0
82,97,0,0
51,96,0,0
62,95,0,0
57,96,0,0
92,97,0,0
107,95,0,0
92,97,0,0
108,100,0,0
104,98,0,0
85,97,0,0
80,96,0,0
74,97,0,0
69,100,0,0
58,98,0,0
97,99,0,0
47,100,0,0
59,98,0,0
100,98,0,0
58,95,0,0
101,95,0,0
95,100,0,0
105,98,0,0
88,100,0,0
56,98,0,0
60,100,0,0
47,95,0,0
99,98,0,0
75,95,0,0
83,99,0,0
93,97,0,0
77,100,0,0
106,100,0,0
109,97,0,0
90,96,0,0
81,96,0,0
93,98,0,0
100,99,0,0
75,97,0,0
86,97,0,0
114,97,0,0
99,96,0,0
47,97,0,0
92,100,0,0
48,97,0,0
51,100,0,0
46,98,0,0
98,95,0,0
88,99,0,0
75,100,0,0
83,100,0,0
96,100,0,0
73,95,0,0
99,96,0,0
102,99,0,0
52,98,0,0
60,100,0,0
114,96,0,0
94,100,0,0
91,95,0,0
73,97,0,0
54,96,0,0
93,96,0,0
111,95,0,0
68,95,0,0
51,97,0,0
103,99,0,0
108,95,0,0
113,99,0,0
108,96,0,0
54,98,0,0
112,97,0,0
60,99,0,0
47,98,0,0
82,100,0,0
90,99,0,0
69,100,0,0
95,99,0,0
85,100,0,0
80,97,0,0
66,99,0,0
108,96,0,0
71,98,0,0
48,95,0,0
106,100,0,0
53,98,0,0
82,97,0,0
77,98,0,0
82,99,0,0
58,97,0,0
104,98,0,0
108,95,0,0
102,99,0,0
114,96,0,0
49,98,0,0
49,97,0,0
103,99,0,0
89,99,0,0
64,100,0,0
58,96,0,0
47,96,0,0
54,100,0,0
64,96,0,0
99,99,0,0
99,96,0,0
54,97,0,0
89,97,0,0
106,96,0,0
108,99,0,0
114,95,0,0
47,100,0,0
96,95,0,0
113,99,0,0
91,98,0,0
95,100,0,0
104,97,0,0
78,98,0,0
70,99,0,0
106,99,0,0
107,99,0,0
80,97,0,0
94,100,0,0
74,97,0,0
45,98,0,0
92,99,0,0
45,97,0,0
95,96,0,0
88,96,0,0
48,98,0,0
111,96,0,0
54,100,0,0
97,100,0,0
60,100,0,0
92,98,0,0
68,99,0,0
110,99,0,0
54,95,0,0
73,97,0,0
63,99,0,0
58,99,0,0
74,98,0,0
112,95,0,0
59,98,0,0
107,95,0,0
106,95,0,0
62,100,0,0
90,98,0,0
51,99,0,0
84,98,0,0
114,97,0,0
59,100,0,0
54,97,0,0
65,95,0,0
70,99,0,0
55,95,0,0
100,97,0,0
71,100,0,0
80,100,0,0
79,98,0,0
61,96,0,0
60,97,0,0
90,98,0,0
97,98,0,0
93,98,0,0
49,97,0,0
64,98,0,0
70,95,0,0
54,97,0,0
67,100,0,0
80,96,0,0
109,97,0,0
62,96,0,0
64,97,0,0
80,98,0,0
107,100,0,0
65,97,0,0
65,96,0,0
82,96,0,0
80,98,0,0
60,97,0,0
103,98,0,0
71,100,0,0
56,96,0,0
102,98,0,0
114,99,0,0
89,100,0,0
74,97,0,0
100,99,0,0
69,97,0,0
113,98,0,0
111,100,0,0
91,98,0,0
97,99,0,0
46,100,0,0
108,95,0,0
82,96,0,0
108,100,0,0
71,97,0,0
99,98,0,0
45,99,0,0
78,96,0,0
84,95,0,0
113,97,0,0
108,100,0,0
51,99,0,0
62,99,0,0
93,95,0,0
113,96,0,0
108,95,0,0
51,97,0,0
103,98,0,0
102,95,0,0
105,98,0,0
104,97,0,0
70,96,0,0
112,99,0,0
104,97,0,0
45,95,0,0
63,95,0,0
75,100,0,0
81,98,0,0
92,100,0,0
102,99,0,0
56,99,0,0
111,95,0,0
47,99,0,0
115,100,0,0
91,96,0,0
72,100,0,0
76,98,0,0
89,97,0,0
57,98,0,0
67,98,0,0
64,97,0,0
115,97,0,0
94,98,0,0
86,98,0,0
70,99,0,0
115,95,0,0
81,100,0,0
72,97,0,0
48,100,0,0
48,96,0,0
102,97,0,0
74,96,0,0
109,97,0,0
69,95,0,0
81,95,0,0
110,100,0,0
68,99,0,0
94,96,0,0
90,99,0,0
98,99,0,0
47,95,0,0
83,99,0,0
46,98,0,0
86,100,0,0
96,99,0,0
45,97,0,0
50,96,0,0
71,96,0,0
76,95,0,0
104,99,0,0
81,96,0,0
68,99,0,0
106,97,0,0
78,99,0,0
50,95,0,0
70,99,0,0
69,100,0,0
64,99,0,0
80,98,0,0
102,98,0,0
93,98,0,0
56,97,0,0
105,98,0,0
45,98,0,0
71,98,0,0
68,100,0,0
83,97,0,0
50,97,0,0
107,97,0,0
72,96,0,0
82,95,0,0
93,100,0,0
72,95,0,0
105,98,0,0
47,95,0,0
51,98,0,0
59,95,0,0
113,96,0,0
78,99,0,0
65,97,0,0
64,100,0,0
84,99,0,0
74,98,0,0
99,97,0,0
90,100,0,0
46,96,0,0
90,98,0,0
71,97,0,0
85,95,0,0
95,96,0,0
96,96,0,0
84,100,0,0
115,99,0,0
45,100,0,0
98,100,0,0
101,99,0,0
86,98,0,0
67,99,0,0
58,95,0,0
103,97,0,0
68,97,0,0
56,99,0,0
46,96,0,0
96,97,0,0
64,96,0,0
72,96,0,0
67,100,0,0
91,96,0,0
60,100,0,0
81,100,0,0
113,99,0,0
57,96,0,0
67,97,0,0
65,95,0,0
65,99,0,0
104,95,0,0
58,96,0,0
52,97,0,0
83,97,0,0
47,96,0,0
71,100,0,0
78,100,0,0
49,98,0,0
78,99,0,0
62,96,0,0
91,99,0,0
59,100,0,0
59,96,0,0
70,96,0,0
92,97,0,0
94,99,0,0
103,98,0,0
73,100,0,0
82,96,0,0
96,98,0,0
108,95,0,0
49,99,0,0
83,95,0,0
57,99,0,0
83,98,0,0
96,98,0,0
59,96,0,0
106,96,0,0
86,97,0,0
60,96,0,0
45,98,0,0
87,97,0,0
89,99,0,0
89,100,0,0
82,99,0,0
59,99,0,0
92,100,0,0
112,97,0,0
63,96,0,0
89,98,0,0
96,97,0,0
58,95,0,0
65,100,0,0
97,99,0,0
112,95,0,0
77,95,0,0
83,98,0,0
47,100,0,0
48,95,0,0
48,95,0,0
92,96,0,0
76,95,0,0
98,100,0,0
52,98,0,0
113,99,0,0
96,95,0,0
70,100,0,0
45,96,0,0
79,97,0,0
57,97,0,0
107,99,0,0
83,100,0,0
47,97,0,0
79,96,0,0
99,98,0,0
79,99,0,0
101,100,0,0
78,95,0,0
53,99,0,0
52,99,0,0
110,95,0,0
59,95,0,0
101,99,0,0
60,100,0,0
72,95,0,0
98,100,0,0
80,95,0,0
111,95,0,0
108,98,0,0
68,99,0,0
106,96,0,0
55,97,0,0
72,97,0,0
92,100,0,0
92,96,0,0
114,98,0,0
100,95,0,0
47,100,0,0
100,99,0,0
110,98,0,0
78,96,0,0
94,98,0,0
46,99,0,0
83,99,0,0
111,97,0,0
104,99,0,0
112,96,0,0
90,99,0,0
101,97,0,0
72,98,0,0
56,99,0,0
61,97,0,0
63,98,0,0
49,98,0,0
86,96,0,0
49,96,0,0
57,98,0,0
114,97,0,0
82,98,0,0
87,96,0,0
106,95,0,0
80,99,0,0
70,99,0,0
87,96,0,0
96,95,0,0
48,98,0,0
81,95,0,0
84,97,0,0
47,96,0,0
55,96,0,0
69,96,0,0
102,97,0,0
57,95,0,0
61,96,0,0
78,95,0,0
100,96,0,0
61,96,0,0
93,98,0,0
111,98,0,0
60,99,0,0
100,98,0,0
94,96,0,0
107,97,0,0
55,97,0,0
68,97,0,0
106,97,0,0
78,99,0,0
94,96,0,0
61,96,0,0
107,100,0,0
93,95,0,0
76,99,0,0
89,97,0,0
73,95,0,0
101,97,0,0
100,98,0,0
51,98,0,0
56,99,0,0
94,98,0,0
96,97,0,0
46,99,0,0
80,95,0,0
53,99,0,0
99,99,0,0
76,99,0,0
112,99,0,0
67,97,0,0
108,96,0,0
99,98,0,0
109,99,0,0
75,95,0,0
45,99,0,0
64,97,0,0
84,96,0,0
88,97,0,0
71,100,0,0
88,100,0,0
108,98,0,0
67,95,0,0
59,98,0,0
55,97,0,0
79,95,0,0
99,95,0,0
100,96,0,0
45,96,0,0
104,99,0,0
101,95,0,0
106,98,0,0
92,98,0,0
102,98,0,0
76,100,0,0
56,100,0,0
52,95,0,0
113,98,0,0
77,95,0,0
98,98,0,0
57,99,0,0
100,95,0,0
115,97,0,0
102,99,0,0
100,95,0,0
87,96,0,0
45,96,0,0
53,98,0,0
91,98,0,0
72,97,0,0
58,99,0,0
91,100,0,0
94,97,0,0
53,97,0,0
62,99,0,0
92,95,0,0
113,97,0,0
55,96,0,0
87,97,0,0
66,96,0,0
94,95,0,0
60,95,0,0
88,99,0,0
71,98,0,0
65,98,0,0
