BPM,SpO2,drowsiness,label
65,98,0,0
52,98,0,0
99,95,0,0
114,100,0,0
109,97,0,0
109,98,0,0
72,97,0,0
114,95,0,0
74,97,0,0
76,98,0,0
89,99,0,0
51,97,0,0
94,100,0,0
74,98,0,0
99,96,0,0
100,100,0,0
114,100,0,0
80,98,0,0
54,99,0,0
47,100,0,0
105,98,0,0
55,99,0,0
88,96,0,0
81,96,0,0
83,96,0,0
79,97,0,0
113,100,0,0
88,97,0,0
99,96,0,0
48,96,0,0
106,98,0,0
114,97,0,0
61,97,0,0
95,99,0,0
98,97,0,0
68,99,0,0
105,99,0,0
97,100,0,0
60,96,0,0
61,98,0,0
71,96,0,0
76,95,0,0
76,98,0,0
45,97,0,0
94,98,0,0
56,97,0,0
64,99,0,0
102,96,0,0
91,95,0,0
75,95,0,0
92,95,0,0
74,99,0,0
61,97,0,0
100,99,0,0
102,97,0,0
106,98,0,0
72,98,0,0
105,96,0,0
72,100,0,0
95,97,0,0
74,98,0,0
108,97,0,0
101,95,0,0
93,98,0,0
108,99,0,0
80,100,0,0
49,99,0,0
81,100,0,0
102,96,0,0
61,97,0,0
112,99,0,0
90,96,0,0
50,95,0,0
113,95,0,0
89,95,0,0
48,96,0,0
62,99,0,0
106,100,0,0
84,99,0,0
89,95,0,0
55,95,0,0
86,97,0,0
83,95,0,0
58,98,0,0
50,99,0,0
109,98,0,0
103,98,0,0
54,100,0,0
113,100,0,0
73,100,0,0
97,99,0,0
73,95,0,0
66,95,0,0
58,95,0,0
101,96,0,0
71,96,0,0
88,95,0,0
95,98,0,0
75,97,0,0
98,99,0,0
86,98,0,0
67,99,0,0
92,95,0,0
102,95,0,0
64,98,0,0
77,96,0,0
107,97,0,0
70,96,0,0
81,98,0,0
115,95,0,0
69,96,0,0
48,96,0,0
58,96,0,0
101,95,0,0
90,99,0,0
105,98,0,0
65,96,0,0
87,95,0,0
88,98,0,0
81,98,0,0
94,100,0,0
48,96,0,0
77,96,0,0
54,96,0,0
75,96,0,0
53,100,0,0
48,95,0,0
66,99,0,0
101,99,0,0
73,95,0,0
113,99,0,0
71,95,0,0
94,98,0,0
112,97,0,0
55,95,0,0
76,96,0,0
53,98,0,0
71,96,0,0
113,100,0,0
70,97,0,0
78,95,0,0
92,95,0,0
76,96,0,0
81,97,0,0
47,96,0,0
87,98,0,0
86,96,0,0
52,99,0,0
108,98,0,0
75,99,0,0
96,99,0,0
57,97,0,0
51,97,0,0
98,95,0,0
57,99,0,0
88,100,0,0
50,97,0,0
113,99,0,0
57,95,0,0
68,98,0,0
45,97,0,0
45,99,0,0
100,96,0,0
45,99,0,0
47,100,0,0
53,95,0,0
58,97,0,0
89,96,0,0
97,99,0,0
73,95,0,0
71,99,0,0
71,99,0,0
107,100,0,0
74,99,0,0
52,98,0,0
100,95,0,0
81,99,0,0
52,99,0,0
108,95,0,0
83,98,0,0
67,100,0,0
73,99,0,0
56,95,0,0
55,99,0,0
106,98,0,0
107,99,0,0
82,95,0,0
115,100,0,0
87,96,0,0
102,98,0,0
105,95,0,0
46,100,0,0
104,99,0,0
69,99,0,0
98,99,0,0
98,96,0,0
91,99,0,0
101,97,0,0
56,95,0,0
63,100,0,0
75,98,0,0
64,95,0,0
56,95,0,0
96,95,0,0
65,98,0,0
78,99,0,0
59,96,0,0
103,97,0,0
67,96,0,0
73,99,0,0
51,99,0,0
69,98,0,0
55,97,0,0
113,100,0,0
50,100,0,0
106,99,0,0
100,97,0,0
66,97,0,0
63,97,0,0
85,100,0,0
115,99,0,0
103,97,0,0
73,96,0,0
87,97,0,0
49,99,0,0
88,99,0,0
56,99,0,0
54,98,0,0
46,99,0,0
79,98,0,0
90,100,0,0
78,99,0,0
45,95,0,0
67,99,0,0
109,95,0,0
56,96,0,0
51,97,0,0
72,96,0,0
91,97,0,0
57,98,0,0
46,98,0,0
63,100,0,0
115,96,0,0
87,100,0,0
74,97,0,0
101,96,0,0
51,95,0,0
76,97,0,0
97,98,0,0
113,100,0,0
61,98,0,0
45,100,0,0
77,97,0,0
103,95,0,0
108,97,0,0
92,95,0,0
106,100,0,0
101,98,0,0
52,98,0,0
97,96,0,0
53,95,0,0
90,97,0,0
54,99,0,0
89,99,0,0
47,98,0,0
114,99,0,0
89,98,0,0
100,98,0,0
55,97,0,0
102,96,0,0
104,97,0,0
50,95,0,0
55,95,0,0
100,95,0,0
68,100,0,0
111,98,0,0
83,100,0,0
104,95,0,0
101,100,0,0
54,98,0,0
92,97,0,0
87,98,0,0
63,100,0,0
70,100,0,0
112,97,0,0
73,98,0,0
57,97,0,0
58,100,0,0
85,96,0,0
85,96,0,0
92,97,0,0
99,100,0,0
104,99,0,0
72,96,0,0
68,95,0,0
93,96,0,0
89,95,0,0
59,95,0,0
103,99,0,0
58,97,0,0
