BPM,SpO2,drowsiness,label
160,92,1,1
185,13,1,1
140,58,1,1
162,83,1,1
173,62,1,1
174,77,1,1
128,92,1,1
120,2,1,1
199,89,1,1
183,29,1,1
194,1,1,1
123,35,1,1
143,90,1,1
159,24,1,1
145,42,1,1
168,78,1,1
146,60,1,1
144,21,1,1
132,60,1,1
172,1,1,1
186,58,1,1
133,7,1,1
159,7,1,1
162,63,1,1
124,40,1,1
160,34,1,1
196,37,1,1
144,30,1,1
136,33,1,1
173,47,1,1
168,55,1,1
142,64,1,1
146,74,1,1
133,51,1,1
171,7,1,1
167,82,1,1
197,57,1,1
187,9,1,1
165,8,1,1
129,28,1,1
150,37,1,1
181,67,1,1
181,86,1,1
165,89,1,1
181,27,1,1
200,72,1,1
161,13,1,1
194,78,1,1
176,49,1,1
178,34,1,1
122,59,1,1
172,70,1,1
170,19,1,1
146,57,1,1
152,88,1,1
142,36,1,1
157,85,1,1
163,84,1,1
163,9,1,1
134,36,1,1
173,24,1,1
155,71,1,1
176,17,1,1
158,89,1,1
177,65,1,1
175,50,1,1
199,60,1,1
189,56,1,1
137,29,1,1
164,79,1,1
162,91,1,1
190,91,1,1
117,93,1,1
144,51,1,1
175,11,1,1
195,65,1,1
192,50,1,1
179,7,1,1
128,90,1,1
162,42,1,1
169,77,1,1
185,29,1,1
183,48,1,1
198,26,1,1
178,6,1,1
180,11,1,1
126,89,1,1
157,67,1,1
131,23,1,1
182,26,1,1
178,30,1,1
130,35,1,1
127,5,1,1
165,59,1,1
150,27,1,1
179,48,1,1
183,54,1,1
198,6,1,1
185,66,1,1
176,85,1,1
174,89,1,1
127,27,1,1
196,54,1,1
185,7,1,1
196,78,1,1
189,25,1,1
195,57,1,1
185,83,1,1
164,27,1,1
122,79,1,1
195,79,1,1
190,30,1,1
196,59,1,1
148,34,1,1
129,29,1,1
189,68,1,1
153,51,1,1
180,41,1,1
156,52,1,1
191,14,1,1
187,3,1,1
142,91,1,1
124,91,1,1
199,85,1,1
174,36,1,1
150,61,1,1
148,77,1,1
185,4,1,1
191,29,1,1
196,9,1,1
193,25,1,1
141,86,1,1
176,3,1,1
181,16,1,1
128,43,1,1
156,36,1,1
160,26,1,1
130,24,1,1
181,16,1,1
176,66,1,1
133,50,1,1
133,47,1,1
128,78,1,1
145,41,1,1
178,26,1,1
150,3,1,1
162,18,1,1
191,93,1,1
153,46,1,1
190,64,1,1
126,3,1,1
133,47,1,1
187,3,1,1
134,93,1,1
171,31,1,1
166,85,1,1
131,46,1,1
179,70,1,1
157,65,1,1
182,93,1,1
122,7,1,1
181,42,1,1
187,9,1,1
185,86,1,1
145,47,1,1
188,64,1,1
156,74,1,1
124,65,1,1
128,28,1,1
164,73,1,1
188,74,1,1
200,53,1,1
117,69,1,1
116,67,1,1
196,90,1,1
115,40,1,1
151,51,1,1
157,18,1,1
135,59,1,1
182,46,1,1
172,54,1,1
116,3,1,1
128,5,1,1
122,60,1,1
162,4,1,1
144,70,1,1
173,32,1,1
188,56,1,1
128,0,1,1
179,30,1,1
140,70,1,1
115,48,1,1
170,7,1,1
139,40,1,1
