BPM,SpO2,drowsiness,label
11,5,1,3
35,80,1,3
4,18,1,3
11,53,1,3
4,77,1,3
20,76,1,3
18,26,1,3
11,52,1,3
2,36,1,3
1,14,1,3
32,53,1,3
25,83,1,3
26,46,1,3
1,33,1,3
16,92,1,3
10,81,1,3
15,0,1,3
11,12,1,3
9,5,1,3
12,91,1,3
38,34,1,3
0,23,1,3
16,40,1,3
3,34,1,3
5,90,1,3
24,75,1,3
37,51,1,3
16,54,1,3
15,59,1,3
11,66,1,3
37,33,1,3
19,71,1,3
35,56,1,3
15,71,1,3
39,8,1,3
33,55,1,3
34,90,1,3
28,62,1,3
38,77,1,3
27,75,1,3
37,8,1,3
30,5,1,3
9,34,1,3
35,74,1,3
12,33,1,3
26,48,1,3
30,69,1,3
16,17,1,3
3,45,1,3
3,75,1,3
29,11,1,3
7,43,1,3
8,67,1,3
4,0,1,3
24,7,1,3
38,16,1,3
30,79,1,3
28,65,1,3
34,84,1,3
26,48,1,3
3,76,1,3
21,16,1,3
1,18,1,3
33,67,1,3
7,36,1,3
29,53,1,3
39,39,1,3
26,82,1,3
32,62,1,3
29,80,1,3
25,91,1,3
6,21,1,3
38,66,1,3
18,55,1,3
2,20,1,3
33,61,1,3
10,19,1,3
15,7,1,3
28,47,1,3
30,88,1,3
24,11,1,3
22,47,1,3
16,91,1,3
37,0,1,3
30,75,1,3
10,61,1,3
29,54,1,3
15,28,1,3
11,70,1,3
34,19,1,3
29,39,1,3
36,56,1,3
26,40,1,3
8,2,1,3
16,24,1,3
35,20,1,3
38,49,1,3
25,85,1,3
32,0,1,3
33,49,1,3
8,26,1,3
19,7,1,3
25,88,1,3
7,25,1,3
31,11,1,3
7,93,1,3
0,88,1,3
18,11,1,3
18,66,1,3
30,63,1,3
3,54,1,3
20,86,1,3
7,83,1,3
18,7,1,3
8,93,1,3
18,62,1,3
19,2,1,3
14,76,1,3
38,67,1,3
33,32,1,3
37,88,1,3
25,7,1,3
9,73,1,3
13,25,1,3
8,69,1,3
10,60,1,3
39,67,1,3
4,83,1,3
19,93,1,3
16,66,1,3
38,43,1,3
40,84,1,3
27,47,1,3
39,58,1,3
7,4,1,3
0,69,1,3
2,78,1,3
27,68,1,3
13,78,1,3
3,32,1,3
25,78,1,3
40,29,1,3
6,21,1,3
18,69,1,3
36,3,1,3
34,22,1,3
29,29,1,3
32,42,1,3
4,24,1,3
33,67,1,3
10,62,1,3
39,39,1,3
4,69,1,3
37,69,1,3
33,44,1,3
31,78,1,3
10,14,1,3
0,50,1,3
24,15,1,3
12,26,1,3
4,26,1,3
23,21,1,3
29,88,1,3
23,13,1,3
32,2,1,3
11,34,1,3
36,73,1,3
36,74,1,3
14,37,1,3
26,0,1,3
38,33,1,3
36,91,1,3
13,55,1,3
37,2,1,3
21,68,1,3
25,12,1,3
39,46,1,3
36,87,1,3
34,56,1,3
29,47,1,3
4,54,1,3
8,46,1,3
23,84,1,3
22,81,1,3
16,47,1,3
11,78,1,3
22,60,1,3
21,44,1,3
39,33,1,3
16,0,1,3
29,53,1,3
25,2,1,3
11,38,1,3
37,2,1,3
11,0,1,3
21,53,1,3
19,10,1,3
27,69,1,3
32,20,1,3
31,60,1,3
14,74,1,3
3,28,1,3
1,83,1,3
33,16,1,3
38,83,1,3
6,81,1,3
29,92,1,3
12,44,1,3
4,44,1,3
6,48,1,3
12,30,1,3
17,61,1,3
13,67,1,3
33,61,1,3
34,12,1,3
30,4,1,3
10,21,1,3
8,28,1,3
17,49,1,3
2,1,1,3
32,37,1,3
27,62,1,3
16,18,1,3
29,16,1,3
35,10,1,3
9,80,1,3
13,15,1,3
0,91,1,3
19,23,1,3
4,0,1,3
40,19,1,3
32,35,1,3
8,25,1,3
29,18,1,3
30,0,1,3
38,46,1,3
6,70,1,3
35,31,1,3
35,67,1,3
14,22,1,3
28,8,1,3
26,4,1,3
0,91,1,3
34,64,1,3
5,14,1,3
23,73,1,3
10,44,1,3
26,81,1,3
21,2,1,3
31,68,1,3
34,27,1,3
23,42,1,3
2,91,1,3
40,54,1,3
15,77,1,3
28,64,1,3
1,66,1,3
7,21,1,3
37,24,1,3
20,44,1,3
8,51,1,3
6,41,1,3
37,40,1,3
7,11,1,3
34,83,1,3
40,76,1,3
15,84,1,3
0,24,1,3
7,15,1,3
24,60,1,3
31,71,1,3
26,11,1,3
39,43,1,3
9,85,1,3
8,15,1,3
18,77,1,3
33,42,1,3
4,0,1,3
14,84,1,3
21,6,1,3
12,82,1,3
38,86,1,3
36,25,1,3
1,32,1,3
10,19,1,3
20,89,1,3
14,89,1,3
25,65,1,3
29,34,1,3
17,9,1,3
26,26,1,3
16,5,1,3
27,62,1,3
31,55,1,3
27,10,1,3
15,8,1,3
33,65,1,3
24,63,1,3
27,4,1,3
0,52,1,3
15,41,1,3
1,24,1,3
19,5,1,3
28,62,1,3
35,15,1,3
19,85,1,3
12,25,1,3
29,67,1,3
4,76,1,3
33,91,1,3
1,40,1,3
0,10,1,3
13,78,1,3
36,47,1,3
27,63,1,3
19,70,1,3
26,49,1,3
35,39,1,3
24,34,1,3
22,80,1,3
5,71,1,3
19,89,1,3
30,36,1,3
18,82,1,3
36,29,1,3
12,3,1,3
10,16,1,3
2,73,1,3
22,92,1,3
33,77,1,3
26,22,1,3
18,26,1,3
5,6,1,3
25,15,1,3
1,20,1,3
12,34,1,3
17,5,1,3
24,39,1,3
37,10,1,3
23,44,1,3
16,8,1,3
40,2,1,3
27,72,1,3
26,23,1,3
30,31,1,3
32,29,1,3
34,36,1,3
16,91,1,3
8,75,1,3
6,48,1,3
12,14,1,3
40,75,1,3
11,50,1,3
12,26,1,3
12,7,1,3
40,65,1,3
6,37,1,3
24,79,1,3
39,67,1,3
38,57,1,3
1,74,1,3
3,34,1,3
40,76,1,3
38,16,1,3
32,37,1,3
14,44,1,3
24,88,1,3
39,70,1,3
39,73,1,3
14,67,1,3
37,44,1,3
2,81,1,3
8,44,1,3
36,74,1,3
24,25,1,3
25,49,1,3
30,19,1,3
33,59,1,3
14,3,1,3
5,55,1,3
20,77,1,3
22,33,1,3
35,90,1,3
20,3,1,3
39,12,1,3
34,78,1,3
8,25,1,3
29,83,1,3
23,19,1,3
14,14,1,3
18,5,1,3
24,9,1,3
31,40,1,3
22,70,1,3
17,36,1,3
34,0,1,3
7,54,1,3
37,53,1,3
0,89,1,3
24,80,1,3
28,17,1,3
9,87,1,3
11,47,1,3
5,89,1,3
12,81,1,3
39,7,1,3
17,45,1,3
14,75,1,3
17,12,1,3
24,51,1,3
39,79,1,3
40,74,1,3
23,74,1,3
27,79,1,3
1,15,1,3
1,70,1,3
27,4,1,3
36,38,1,3
29,48,1,3
30,71,1,3
5,70,1,3
34,37,1,3
0,63,1,3
25,80,1,3
28,54,1,3
10,58,1,3
35,25,1,3
21,3,1,3
8,86,1,3
11,51,1,3
4,53,1,3
10,29,1,3
23,14,1,3
2,23,1,3
39,87,1,3
24,0,1,3
32,36,1,3
23,64,1,3
17,55,1,3
32,23,1,3
19,68,1,3
40,35,1,3
27,43,1,3
13,91,1,3
26,38,1,3
1,4,1,3
19,13,1,3
26,56,1,3
26,72,1,3
13,41,1,3
23,85,1,3
29,36,1,3
40,54,1,3
14,21,1,3
10,72,1,3
29,61,1,3
21,61,1,3
36,35,1,3
2,63,1,3
24,69,1,3
14,41,1,3
40,58,1,3
7,2,1,3
25,67,1,3
34,9,1,3
15,10,1,3
2,43,1,3
25,45,1,3
28,27,1,3
0,58,1,3
15,51,1,3
29,3,1,3
32,14,1,3
38,86,1,3
15,60,1,3
3,57,1,3
18,42,1,3
13,5,1,3
10,75,1,3
0,5,1,3
35,31,1,3
22,83,1,3
39,26,1,3
31,62,1,3
14,67,1,3
7,41,1,3
23,43,1,3
35,21,1,3
14,4,1,3
23,75,1,3
24,28,1,3
35,64,1,3
23,41,1,3
26,83,1,3
27,71,1,3
4,62,1,3
20,21,1,3
