BPM,SpO2,drowsiness,label
2,46,1,3
8,10,1,3
462,16,1,2
74,100,0,0
1,55,1,3
463,56,1,2
29,81,1,3
4,43,1,3
228,9,1,2
20,31,1,3
117,73,1,1
52,96,0,0
46,100,0,0
49,97,0,0
114,100,0,0
371,86,1,2
193,67,1,1
233,76,1,2
126,26,1,1
21,46,1,3
10,82,1,3
192,23,1,1
453,40,1,2
70,95,0,0
31,60,1,3
64,100,0,0
207,81,1,2
53,100,0,0
461,35,1,2
288,62,1,2
274,80,1,2
489,77,1,2
137,89,1,1
17,76,1,3
360,29,1,2
5,70,1,3
193,16,1,1
131,83,1,1
26,49,1,3
457,38,1,2
18,36,1,3
22,60,1,3
227,45,1,2
14,29,1,3
191,69,1,1
13,36,1,3
295,21,1,2
61,100,0,0
74,98,0,0
253,83,1,2
161,62,1,1
52,96,0,0
263,46,1,2
83,99,0,0
364,50,1,2
193,30,1,1
135,91,1,1
37,0,1,3
35,87,1,3
125,27,1,1
144,37,1,1
101,99,0,0
49,100,0,0
475,62,1,2
97,98,0,0
0,23,1,3
9,27,1,3
40,53,1,3
174,78,1,1
349,30,1,2
116,60,1,1
181,79,1,1
70,99,0,0
72,99,0,0
31,83,1,3
214,35,1,2
6,42,1,3
18,7,1,3
148,17,1,1
281,83,1,2
70,99,0,0
262,1,1,2
386,13,1,2
103,99,0,0
107,97,0,0
272,18,1,2
195,30,1,1
397,43,1,2
111,100,0,0
351,78,1,2
153,32,1,1
94,98,0,0
96,95,0,0
77,96,0,0
141,42,1,1
93,99,0,0
402,22,1,2
114,100,0,0
127,18,1,1
86,98,0,0
179,52,1,1
261,84,1,2
355,59,1,2
119,14,1,1
158,36,1,1
11,56,1,3
140,60,1,1
47,97,0,0
66,100,0,0
332,83,1,2
394,23,1,2
126,86,1,1
67,100,0,0
124,82,1,1
298,48,1,2
65,99,0,0
333,0,1,2
292,34,1,2
64,98,0,0
437,19,1,2
110,97,0,0
191,70,1,1
121,58,1,1
430,19,1,2
29,47,1,3
75,99,0,0
90,99,0,0
52,95,0,0
85,95,0,0
52,99,0,0
197,51,1,1
107,100,0,0
37,93,1,3
333,32,1,2
2,23,1,3
132,3,1,1
209,17,1,2
205,52,1,2
15,17,1,3
22,41,1,3
108,97,0,0
138,30,1,1
143,8,1,1
34,11,1,3
237,44,1,2
196,4,1,1
88,96,0,0
8,2,1,3
66,99,0,0
81,97,0,0
102,95,0,0
344,53,1,2
123,77,1,1
8,1,1,3
147,40,1,1
77,100,0,0
110,97,0,0
258,5,1,2
137,34,1,1
282,60,1,2
165,16,1,1
106,97,0,0
292,75,1,2
69,99,0,0
143,46,1,1
155,44,1,1
86,100,0,0
446,34,1,2
108,100,0,0
100,95,0,0
62,96,0,0
2,63,1,3
114,100,0,0
111,95,0,0
67,96,0,0
37,1,1,3
252,91,1,2
157,44,1,1
188,57,1,1
355,13,1,2
15,84,1,3
493,39,1,2
292,59,1,2
256,2,1,2
333,67,1,2
23,39,1,3
298,5,1,2
237,4,1,2
24,15,1,3
296,65,1,2
186,59,1,1
55,97,0,0
1,4,1,3
16,21,1,3
52,98,0,0
1,36,1,3
84,97,0,0
33,30,1,3
11,4,1,3
499,40,1,2
94,96,0,0
175,88,1,1
455,91,1,2
53,95,0,0
393,66,1,2
152,13,1,1
67,99,0,0
76,95,0,0
1,32,1,3
164,79,1,1
199,79,1,1
124,66,1,1
0,24,1,3
102,97,0,0
238,50,1,2
476,71,1,2
115,60,1,1
118,57,1,1
3,34,1,3
34,34,1,3
441,56,1,2
460,89,1,2
68,96,0,0
260,23,1,2
5,71,1,3
18,66,1,3
21,57,1,3
323,12,1,2
48,95,0,0
360,42,1,2
176,89,1,1
76,97,0,0
60,100,0,0
4,59,1,3
39,33,1,3
187,12,1,1
26,0,1,3
94,100,0,0
144,39,1,1
469,86,1,2
81,100,0,0
19,13,1,3
438,37,1,2
138,31,1,1
18,46,1,3
10,93,1,3
82,97,0,0
33,61,1,3
158,1,1,1
34,85,1,3
55,97,0,0
60,95,0,0
151,70,1,1
393,35,1,2
116,67,1,1
184,65,1,1
181,79,1,1
11,8,1,3
95,96,0,0
82,98,0,0
274,18,1,2
327,18,1,2
370,93,1,2
115,96,0,0
208,71,1,2
436,51,1,2
172,42,1,1
47,96,0,0
104,97,0,0
0,91,1,3
21,68,1,3
111,99,0,0
116,11,1,1
103,95,0,0
53,98,0,0
430,53,1,2
18,44,1,3
327,42,1,2
4,76,1,3
76,95,0,0
406,64,1,2
197,35,1,1
301,42,1,2
22,34,1,3
30,80,1,3
176,87,1,1
87,95,0,0
129,9,1,1
5,14,1,3
157,36,1,1
89,99,0,0
110,98,0,0
98,99,0,0
57,100,0,0
119,0,1,1
30,24,1,3
164,86,1,1
3,49,1,3
207,5,1,2
111,97,0,0
2,2,1,3
483,74,1,2
296,42,1,2
139,58,1,1
182,77,1,1
59,100,0,0
183,65,1,1
112,98,0,0
14,46,1,3
65,97,0,0
312,23,1,2
267,77,1,2
22,8,1,3
243,0,1,2
76,98,0,0
59,95,0,0
37,35,1,3
83,100,0,0
72,97,0,0
63,100,0,0
55,99,0,0
107,98,0,0
9,70,1,3
105,98,0,0
3,91,1,3
140,7,1,1
477,61,1,2
31,80,1,3
116,71,1,1
87,99,0,0
178,23,1,1
154,93,1,1
7,9,1,3
184,13,1,1
142,87,1,1
30,79,1,3
84,98,0,0
19,71,1,3
310,28,1,2
23,86,1,3
185,38,1,1
1,86,1,3
360,92,1,2
170,23,1,1
325,89,1,2
218,25,1,2
67,98,0,0
62,98,0,0
54,99,0,0
72,97,0,0
197,51,1,1
288,7,1,2
1,85,1,3
0,53,1,3
138,40,1,1
5,61,1,3
454,81,1,2
141,65,1,1
69,99,0,0
243,84,1,2
182,50,1,1
11,51,1,3
54,97,0,0
344,78,1,2
139,11,1,1
8,67,1,3
209,6,1,2
267,37,1,2
273,27,1,2
79,95,0,0
30,1,1,3
357,43,1,2
160,63,1,1
94,99,0,0
157,12,1,1
231,47,1,2
148,42,1,1
212,72,1,2
51,97,0,0
462,85,1,2
13,2,1,3
130,13,1,1
373,2,1,2
461,54,1,2
34,64,1,3
61,100,0,0
104,97,0,0
9,52,1,3
102,97,0,0
99,98,0,0
64,95,0,0
283,38,1,2
349,16,1,2
52,99,0,0
145,15,1,1
81,99,0,0
345,21,1,2
12,20,1,3
7,4,1,3
63,98,0,0
16,31,1,3
243,5,1,2
72,98,0,0
102,98,0,0
92,100,0,0
245,44,1,2
409,73,1,2
49,99,0,0
116,32,1,1
183,34,1,1
55,97,0,0
170,41,1,1
72,95,0,0
48,100,0,0
249,61,1,2
55,98,0,0
253,47,1,2
186,54,1,1
7,76,1,3
31,71,1,3
149,84,1,1
31,77,1,3
19,93,1,3
6,25,1,3
313,87,1,2
84,97,0,0
132,6,1,1
433,67,1,2
122,72,1,1
115,28,1,1
160,93,1,1
84,100,0,0
284,81,1,2
164,71,1,1
49,100,0,0
28,62,1,3
45,96,0,0
478,48,1,2
48,97,0,0
132,41,1,1
115,97,0,0
68,96,0,0
55,98,0,0
88,99,0,0
429,39,1,2
3,1,1,3
49,96,0,0
157,17,1,1
454,30,1,2
96,99,0,0
13,51,1,3
482,83,1,2
142,56,1,1
437,36,1,2
166,55,1,1
36,73,1,3
169,52,1,1
93,99,0,0
176,3,1,1
15,58,1,3
24,75,1,3
394,86,1,2
21,3,1,3
307,52,1,2
24,25,1,3
19,61,1,3
131,45,1,1
55,98,0,0
102,97,0,0
387,80,1,2
11,70,1,3
144,9,1,1
31,64,1,3
17,64,1,3
74,100,0,0
142,58,1,1
407,26,1,2
7,11,1,3
61,97,0,0
162,34,1,1
135,68,1,1
407,68,1,2
69,99,0,0
107,98,0,0
34,6,1,3
450,24,1,2
205,19,1,2
182,78,1,1
94,95,0,0
35,56,1,3
183,17,1,1
40,65,1,3
17,87,1,3
83,98,0,0
69,95,0,0
26,68,1,3
153,82,1,1
24,48,1,3
19,7,1,3
199,88,1,1
8,7,1,3
261,3,1,2
94,100,0,0
498,85,1,2
193,38,1,1
31,55,1,3
263,23,1,2
32,37,1,3
28,86,1,3
26,59,1,3
157,61,1,1
70,99,0,0
320,83,1,2
164,68,1,1
102,99,0,0
190,78,1,1
220,59,1,2
396,56,1,2
393,47,1,2
140,12,1,1
92,100,0,0
71,100,0,0
10,81,1,3
77,100,0,0
13,25,1,3
64,97,0,0
111,97,0,0
215,40,1,2
198,66,1,1
34,79,1,3
198,35,1,1
446,42,1,2
281,24,1,2
22,49,1,3
23,44,1,3
245,64,1,2
166,17,1,1
122,37,1,1
308,65,1,2
165,43,1,1
191,31,1,1
76,99,0,0
20,5,1,3
4,36,1,3
89,95,0,0
47,100,0,0
150,72,1,1
145,36,1,1
229,21,1,2
17,49,1,3
30,19,1,3
99,98,0,0
186,89,1,1
106,95,0,0
8,25,1,3
259,32,1,2
32,34,1,3
371,77,1,2
196,19,1,1
112,95,0,0
5,51,1,3
3,65,1,3
405,48,1,2
145,43,1,1
333,58,1,2
82,97,0,0
53,99,0,0
3,74,1,3
30,4,1,3
82,96,0,0
370,62,1,2
80,98,0,0
422,36,1,2
281,64,1,2
216,88,1,2
170,30,1,1
24,34,1,3
130,9,1,1
151,88,1,1
341,90,1,2
185,16,1,1
11,21,1,3
47,97,0,0
148,54,1,1
110,97,0,0
12,9,1,3
155,66,1,1
23,59,1,3
59,96,0,0
159,5,1,1
79,99,0,0
28,22,1,3
296,60,1,2
123,75,1,1
152,88,1,1
296,33,1,2
10,34,1,3
479,71,1,2
186,29,1,1
239,61,1,2
367,29,1,2
160,36,1,1
260,66,1,2
120,90,1,1
316,1,1,2
5,22,1,3
292,15,1,2
75,98,0,0
161,19,1,1
